inicio,fin,diferencia
6.4,7.09,29
6.38,7.03,25
6.38,7.03,25
6.41,7.04,23
6.48,7.09,21
6.36,6.55,19
6.34,6.51,17
6.51,7.14,23
6.38,7.01,23
6.45,7.10,25
6.47,7.11,24
10.34,10.53,19
6.43,7.03,20
6.43,7.03,20
6.39,7.02,23
8.49,9.08,19
6.36,6.55,19
6.41,6.58,17
10.19,10.42,23
6.46,7.06,20
10.33,10.50,17
6.56,7.17,21
6.40,7.02,22
6.44,7.05,21
6.49,7.07,18
6.36,6.55,19
6.44,7.04,20
6.44,7.07,23
6.43,7.05,22
6.42,7.02,20
6.47,7.09,22
6.45,7.04,19
6.52,7.11,19
7.03,7.23,20
6.41,7.00,19
6.39,7.02,23
6.33,6.51,18
5.37,6.45,68
5.42,6.46,64
5.32,6.56,84
5.32,6.41,69
5.51,6.51,60
5.46,6.44,58
5.32,6.45,73
5.35,6.37,62
5.33,6.56,83
5.41,6.55,74
5.45,6.52,67
5.29,7.05,96
5.35,6.42,67
5.37,6.47,70
5.45,6.38,53
5.37,6.45,68
5.42,6.46,64
5.32,6.56,84
5.32,6.41,69
5.51,6.51,60
5.46,6.44,58
5.32,6.45,73
5.35,6.37,62
5.33,6.56,83
5.41,6.55,74
5.45,6.52,67
5.29,7.05,96
5.35,6.42,67
5.37,6.47,70
5.45,6.38,53
5.37,6.45,68
5.25,6.52,87
5.45,7.11,86
5.32,6.49,77
5.29,6.38,69
5.46,6.49,63
5.42,6.52,70
6.10,7.05,55
6.03,7.01,58
6.10,7.02,52
6.30,7.17,47
6.21,7.17,56
6.35,7.19,44
6.34,7.19,45
6.30,7.19,49
6.11,6.54,43
6.05,6.55,50
6.03,7.00,57
6.12,6.56,44
6.09,6.55,46
6.00,6.51,51
6.05,6.56,51
6.03,6.49,46
6.04,7.01,57
6.05,6.48,43
6.02,6.50,48
6.04,6.57,53
6.05,7.00,55
6.11,7.01,50
6.20,7.06,46
6.16,7.03,47
6.15,7.02,47
6.04,7.00,56
6.06,6.50,44
6.10,7.07,57
6.10,6.57,47
6.15,7.12,57
6.00,6.52,52
6.00,6.51,51
6.05,6.55,50
6.06,6.50,44
6.21,7.17,56
6.35,7.19,44
6.10,7.05,55
